"task_name","forester_time","h2o_time","difference","relative_diff"
"bank32nh",606,1121,-515,0.540588760035682
"bank32nh",690,1143,-453,0.603674540682415
"bank32nh",830,1380,-550,0.601449275362319
"wine_quality",1359,2493,-1134,0.545126353790614
"wine_quality",1163,1744,-581,0.666857798165138
"wine_quality",1430,2153,-723,0.664189503019043
"Mercedes_Benz_Greener_Manufacturing",1129,1645,-516,0.686322188449848
"Mercedes_Benz_Greener_Manufacturing",667,1148,-481,0.581010452961672
"Mercedes_Benz_Greener_Manufacturing",748,1322,-574,0.565809379727685
"kin8nm",582,1628,-1046,0.357493857493857
"kin8nm",536,1565,-1029,0.342492012779553
"kin8nm",516,1499,-983,0.344229486324216
"pol",800,1650,-850,0.484848484848485
"pol",711,1468,-757,0.48433242506812
"pol",757,1527,-770,0.495743287491814
"2dplanes",417,1066,-649,0.391181988742964
"2dplanes",367,991,-624,0.370332996972755
"2dplanes",419,1095,-676,0.382648401826484
"elevators",811,1569,-758,0.516889738687062
"elevators",570,1208,-638,0.471854304635762
"elevators",780,1529,-749,0.510137344669719
